Üretici,ÜreticiKodu,Açıklama,ÇalışmaSıcaklığı,Ref_SicaklıkDeğeri,Ref_SicaklıkDirençDeğeri,Ref_HataPayı,B_HataPayı,B0_50,B25_50,B25_75,B25_85,B25_100,Pdf
TDK Electronics Inc.,B57551G1103H005,THERMISTOR NTC 10KOHM 3612K BEAD,-55°C ~ 200°C,25,10k,±3%,±1%,,,,3612K,3625K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1551_coated.pdf
TDK Electronics Inc.,B57561G0502H000,THERMISTOR NTC G561 / 5 K / H 3%,,25,,,,,,,,,
TDK Electronics Inc.,B57561G1104H000,THERM NTC 100KOHM 4072K BEAD,-55°C ~ 260°C,25,100k,±3%,±1%,,,,4072K,4092K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1561_coated.pdf
TDK Electronics Inc.,B57561G1303H005,THERMISTOR NTC 30KOHM 3940K BEAD,-55°C ~ 260°C,25,30k,±3%,±2%,,,,3940K,3988K,
TDK Electronics Inc.,B57565G1103H000,THERMISTOR NTC 10KOHM 3478K BEAD,-55°C ~ 260°C,25,10k,±3%,±1%,,,,3478K,3492K,https://en.tdk.eu/inf/50/db/ntc_13/NTC_Glass_enc_sensors_G1565_coated.pdf
TDK Electronics Inc.,B57869S0303F140,THERMISTOR NTC 30KOHM 3964K BEAD,-55°C ~ 155°C,25,30k,±0.2%,-,,,,,3964K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Mini_sensors_S869.pdf
Vishay BC Components,NTCC300E4472JT,THERMISTOR NTC 4.7KOHM 3435K DIE,-55°C ~ 175°C,25,4.7k,±5%,±1%,,,,3435K,,http://www.vishay.com/docs/29153/ntccx00e4.pdf
Vishay BC Components,NTCC300E4472JT,THERMISTOR NTC 4.7KOHM 3435K DIE,-55°C ~ 175°C,25,4.7k,±5%,±1%,,,,3435K,,http://www.vishay.com/docs/29153/ntccx00e4.pdf
Vishay BC Components,NTCC300E4472JT,THERMISTOR NTC 4.7KOHM 3435K DIE,-55°C ~ 175°C,25,4.7k,±5%,±1%,,,,3435K,,http://www.vishay.com/docs/29153/ntccx00e4.pdf
TDK Electronics Inc.,B57962S282H1,THERM NTC 2.8KOHM 3988K BEAD,-,25,2.8k,±3%,-,,,,,3988K,
TDK Electronics Inc.,B57962S282H3,THERM NTC 2.8KOHM 3988K BEAD,-,25,2.8k,±3%,-,,,,,3988K,
Amphenol Advanced Sensors,C100F232J,THERMISTOR NTC 2.252KOHM BEAD,-80°C ~ 150°C,25,2.252k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,C100F302J,THERMISTOR NTC 3KOHM BEAD,-80°C ~ 150°C,25,3k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,C100F153J,THERMISTOR NTC 15KOHM BEAD,-80°C ~ 150°C,25,15k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,C100F203J,THERMISTOR NTC 20KOHM BEAD,-80°C ~ 150°C,25,20k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,C100Y104J,THERMISTOR NTC 100KOHM BEAD,-80°C ~ 150°C,25,100k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,C100F202J,THERMISTOR NTC 2KOHM BEAD,-80°C ~ 150°C,25,2k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,C100G503J,THERMISTOR NTC 50KOHM BEAD,-80°C ~ 150°C,25,50k,±5%,-,,,,,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=103
Amphenol Advanced Sensors,RL2008-52.3K-155-D1,THERM NTC 100KOHM 4783K DISC,-50°C ~ 150°C,25,100k,±10%,-,,,,4783K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=71
